date,outlet,title,url,theme,summary,paywalled
2025,Correio do Estado,"MS e vice-campeao brasileiro de judicializacao da Saude",https://correiodoestado.com.br/cidades/ms-e-vice-campeao-brasileiro-de-judicializacao-da-saude/460437/,budget_pressure,"Mato Grosso do Sul is second-highest state for per-capita health lawsuits (behind Federal District). Over 18,500 lawsuits in 2025. During 70-day period, 435 judicialization requests (~6/day).",no
2024,The Conversation / Metropoles,"Judicializacao consumiu de 30% a 100% da verba da saude em mais de 250 cidades brasileiras",https://theconversation.com/judicializacao-consumiu-de-30-a-100-da-verba-da-saude-em-mais-de-250-cidades-brasileiras-230387,budget_pressure,"Using DATAJUD data: in 2020, ~270 municipalities spent 30-100% of entire health budgets on judicialized demands. Nearly half of all 5,569 municipalities allocated up to 10% of health budget to judicial compliance.",no
2024,Jornal da Unicamp,"Judicializacao de medicamentos poe em risco sistema publico de saude",https://jornal.unicamp.br/edicao/721/judicializacao-de-medicamentos-poe-em-risco-sistema-publico-de-saude/,budget_pressure,"Campinas spent R$47.7 million on court-ordered pharma assistance (2017-2021). 76% involved items absent from SUS lists, 23.7% were state/federal responsibility. Concluded judicialization risks sustainability of municipal health system.",no
2024-12,Ministerio da Saude,"Pactuada portaria sobre o ressarcimento de medicamentos judicializados",https://www.gov.br/saude/pt-br/assuntos/noticias/2024/dezembro/pactuada-portaria-sobre-o-ressarcimento-de-medicamentos-judicializados,budget_pressure,"CIT approved historic portaria for inter-federative reimbursement of court-ordered ANVISA-registered medications. Ministry to begin payments January 2025, acknowledging unsustainable cost burden on subnational governments.",no
2018-05,Senado Noticias,"Pais busca solucoes para aumento de judicializacao na saude",https://www12.senado.leg.br/noticias/especiais/especial-cidadania/pais-busca-solucoes-para-aumento-de-judicializacao-na-saude,crowd_out,"Senate special report: 130% increase in health lawsuits 2008-2017, spending reaching R$1.6 billion in 2016. R$7 billion/year in judicial sentences means money displaced from other health actions.",no
2025,SES Minas Gerais,"Judicializacao da Saude (institutional page)",https://www.saude.mg.gov.br/judicializacao/,crowd_out,"Minas Gerais Health Department: health judicialization consumes ~11% of state health budget. States that when someone sues for specific treatment, resources meant for collective end up going to single case.",no
2025-08-17,Fala Voce Noticias,"Governo gasta R$ 2,73 bilhoes com medicamentos fornecidos por decisoes judiciais em 2024",https://www.falavoce.com.br/noticias/1359-2025/08/17/governo-gasta-r-2-73-bilhoes-com-medicamentos-fornecidos-por-decisoes-judiciais-em-2024,crowd_out,"In 2024, Ministry spent R$3.2 billion on judicial medication demands: R$1.9 billion from own budget + R$1.3 billion in reimbursements. 70% of five-year spending went to just ten medications.",no
2024-07-07,Conjur,"Labirintos da judicializacao da saude",https://www.conjur.com.br/2024-jul-07/labirintos-da-judicializacao-da-saude/,crowd_out,"Analysis: individualized technology-driven model of judicial healthcare undermines constitutional priority of prevention, primary care, and health surveillance. Favors individual demands at expense of structural policies.",no
2019,SciELO / Revista de Administracao Publica,"Os impactos da judicializacao da saude no municipio de Sao Paulo",https://www.scielo.br/j/rap/a/5YcctKRJTVmQnp5mRHkBBcj/?format=html&lang=pt,crowd_out,"In 2011, judicialization spending in Sao Paulo = 6% of pharma policy budget, 10% of medication/supplies budget. 55% went toward medications that were state/federal responsibility. Three impacts: unequal access, federative imbalance, budget unpredictability.",no
2026-01-04,Tribuna de Minas,"Perspectivas 2026: Municipio encara desafios na Saude e tenta reduzir filas e sobrecarga",https://tribunademinas.com.br/noticias/cidade/04-01-2026/perspectiva-2026-saude.html,crowd_out,"Juiz de Fora (MG) led MG ranking for judicial injunctions on hospitalization/ICU beds. Health Secretary described judicialization as a 'break in the regular flow of bed regulation.' Primary care shows long waits, doctor shortages.",no
2015-12-07,Reporter Brasil,"Lobby da industria farmaceutica poe direito a saude na UTI",https://reporterbrasil.org.br/2015/12/lobby-da-industria-farmaceutica-poe-direito-a-saude-na-uti/,pharma_industry,"Investigative piece: pharmaceutical industry invests heavily in lobby strategies. Between 2008 and 2015, real growth in medicine budget was 74%, but judicialization of medicines grew 1,006%.",no
2015-12,Reporter Brasil,"A polemica receita da Bancada do Medicamento no Congresso",https://reporterbrasil.org.br/2015/12/a-polemica-receita-da-bancada-do-medicamento-no-congresso/,pharma_industry,"Exposes informal 'Bancada do Medicamento' -- eight parliamentarians defending pharma interests. Specific deputies received R$150,000 from Interfarma in 2010. Global pharma sector: ~US$1 trillion annual revenue.",no
2019-02,Reporter Brasil,"Com doacoes de R$ 13 mi, industria farmaceutica ganha assento e amplia lobby no novo Congresso",https://reporterbrasil.org.br/2019/02/industria-farmaceutica-ganha-assento-e-amplia-lobby-no-novo-congresso/,pharma_industry,"Pharma industry donated R$13 million to campaigns. In 2010/2014 when private financing was allowed: R$26 million and R$57 million to 1,404 candidates. Former Hypera director admitted transferring R$30 million to MDB politicians.",no
2019-08,Reporter Brasil,"Conheca a lei que vai causar prejuizo bilionario ao Ministerio da Saude e ampliar lucro das farmaceuticas",https://reporterbrasil.org.br/2019/08/conheca-a-lei-que-vai-causar-prejuizo-bilionario-ao-ministerio-da-saude-e-ampliar-lucro-das-farmaceuticas/,pharma_industry,"Investigates Article 40 of Industrial Property Law (1997) guaranteeing minimum 10-year patent validity, causing billions in losses to Ministry while amplifying pharma profits. Interfarma and Caeme used judicial actions to maintain monopolies.",no
2008-09-01,Governo do Estado de Sao Paulo,"Policia prende quadrilha que fraudou R$ 63 milhoes do Estado (Operacao Garra Rufa)",https://www.saopaulo.sp.gov.br/ultimas-noticias/policia-prende-quadrilha-que-fraudou-r-63-milhoes-do-estado/,pharma_industry,"Criminal network of three pharma labs, an NGO, doctors, and lawyers defrauded R$63 million. Doctors issued improper reports, lawyers filed lawsuits, many patients didn't know suits were filed on their behalf.",no
2018-04-04,SciELO em Perspectiva: Humanas,"A judicializacao da Saude: existem interferencias da industria farmaceutica no fenomeno?",https://humanas.blog.scielo.org/blog/2018/04/04/a-judicializacao-da-saude-existem-interferencias-da-industria-farmaceutica-no-fenomeno/,pharma_industry,"Academic research summary showing justice and medicine have been articulated to serve pharma interests. Patient associations are linked to industry. Strong pressure to introduce new medications via judicial demands.",no
2015-09-13,ALMG,"Especialistas criticam lobby de fabricantes de medicamentos",https://www.almg.gov.br/acompanhe/noticias/arquivos/2015/09/13_seminario_judicializacao_saude.html,pharma_industry,"Seminar at MG Legislature: experts criticized pharma lobby leading to 'inadequate conduct by healthcare providers.' Evidence of coordinated action between prescribers, lawyers, and pharma.",no
2021-04-28,The Intercept Brasil,"Lobby contra quebra de patentes de medicamentos pagou R$ 1,5 milhao a jornais",https://www.intercept.com.br/2021/04/28/lobby-contra-quebra-de-patentes-pagou-jornais/,pharma_industry,"Pharma lobby against breaking patents paid R$1.5 million to newspapers for sponsored content. Valor Economico article cost at least R$300,000 for double-page customized content.",no
2023-08-21,The Intercept Brasil,"Medicamentos: Farmaceuticas tentam barrar genericos para cancer",https://www.intercept.com.br/2023/08/21/medicamentos-farmaceuticas-tentam-barrar-genericos-para-cancer-diabetes-hiv/,pharma_industry,"~50 lawsuits by foreign pharma companies to delay generic versions of ~50 medications for cancer, diabetes, HIV. Judicial strategy to extend patents and block cheaper generics.",no
2010,SciELO / Revista de Saude Publica,"Acoes judiciais: estrategia da industria farmaceutica para introducao de novos medicamentos",https://www.scielo.br/j/rsp/a/hcnPQzz9FLGGGxHbb78gzPy/?lang=pt,pharma_industry,"Landmark Chieffi & Barata study: 2,927 judicial actions in SP in 2006. Of 565 legal agents, 549 (97.2%) were private attorneys. 19 lawyers filed ~63% of all lawsuits; for some drugs, one lawyer filed 70% of actions.",no
2012,SciELO / Physis,"Ligacoes perigosas: industria farmaceutica, associacoes de pacientes e as batalhas judiciais por acesso a medicamentos",https://www.scielo.br/j/physis/a/fXmMTm8w6v5WhZHH3swzGFN/,pharma_industry,"Documents 'dangerous liaisons' between pharma, patient associations, and judicial battles. Connections result from market expansion strategies. Lawsuits increased ~350% in RJ between 2001-2005.",no
2014,SciELO / Revista de Saude Publica,"Medicos, advogados e industria farmaceutica na judicializacao da saude em Minas Gerais",https://www.scielo.br/j/rsp/a/66MXhZ5GyBFwWYGLNKkX55P/?lang=pt,pharma_industry,"MG study (1999-2009): single doctor from one law office responsible for ~44% of prescriptions in 117 actions. Greater concentration for newer, more expensive medications. Pharma targets medical students/residents via philanthropy-disguised marketing.",no
2025,Revista Pesquisa FAPESP,"Growing demands (Demandas crescentes)",https://revistapesquisa.fapesp.br/en/growing-demands/,pharma_industry,"92% increase in judicial proceedings for medicines over five years. SP state spent R$40 million in 2006-2007 on seven anticancer drugs via court orders, with R$7 million lacking clinical evidence of benefit.",no
2021-09-20,Folha de Pernambuco,"Justica determina que Uniao forneca remedio mais caro do mundo para tratamento de bebe com AME",https://www.folhape.com.br/noticias/justica-determina-que-uniao-forneca-remedio-mais-caro-do-mundo-para/198286/,individual_cases,"Federal judge ordered Union to provide Zolgensma (~R$12 million) to 4-month-old Benjamin diagnosed with AME. Family had started internet campaign 'Ame o Ben.'",no
2021-11,IstoE Dinheiro,"Justica autoriza importacao do remedio mais caro do mundo a bebe de 1 ano",https://istoedinheiro.com.br/justica-autoriza-importacao-do-remedio-mais-caro-do-mundo-a-bebe-de-1-ano/,individual_cases,"Court authorized Zolgensma import (R$12 million) for 1-year-old Isabel with AME. Emphasized Zolgensma's cost-benefit over Spinraza (single application vs lifelong doses).",no
2022,CNN Brasil,"Familia busca ajuda para comprar remedio de R$ 7 milhoes a bebe com doenca rara",https://www.cnnbrasil.com.br/saude/familia-busca-ajuda-para-comprar-remedio-de-r-7-milhoes-a-bebe-com-doenca-rara/,individual_cases,"Henri with AME couldn't move legs/arms, had respiratory difficulties. Mother mobilized social media for R$7 million Zolgensma. He eventually received it -- 'O Henri renasceu.'",no
2020-09-26,IstoE,"Morre bebe com doenca rara que motivou campanha para compra de remedio mais caro do mundo",https://istoe.com.br/morre-bebe-com-doenca-rara-que-motivou-campanha-para-compra-de-remedio-mais-caro-do-mundo/,individual_cases,"Baby Aysha died before Zolgensma could be obtained. Highlights life-or-death stakes of delays in accessing high-cost medications.",no
2025,CNN Brasil,"Menino que utilizava remedio mais caro do mundo para tratar doenca rara morre aos 5 anos",https://www.cnnbrasil.com.br/nacional/menino-que-utilizava-remedio-mais-caro-do-mundo-para-tratar-doenca-rara-morre-aos-5-anos/,individual_cases,"Guilherme Martini died at age 5 despite receiving Zolgensma (R$12 million) through judicial action in 2021. Illustrates both successes and limitations of judicial access to high-cost treatments.",no
2022,Jovem Pan,"Menino de 3 anos morre de doenca rara e familia lamenta demora do governo para comprar remedio",https://jovempan.com.br/noticias/brasil/menino-de-1-ano-morre-de-doenca-rara-e-familia-lamenta-demora-da-uniao-para-comprar-remedio-mais-caro-do-mundo.html,individual_cases,"3-year-old Vinicius died from AME. Family blamed government delay in purchasing Zolgensma. Symbol of how bureaucratic delays fulfilling judicial orders can be fatal.",no
2023-09-05,Agencia Brasil,"Zanin obriga governo a fornecer remedio mais caro do mundo a crianca",https://agenciabrasil.ebc.com.br/justica/noticia/2023-09/zanin-obriga-governo-fornecer-remedio-mais-caro-do-mundo-crianca,individual_cases,"STF Minister Zanin confirmed government must provide Zolgensma (~R$6 million) to 2-year-old, overturning STJ denial. Cited 'fundamental rights of the greatest magnitude -- rights to life and health of a child.'",no
2024-08,Metropoles / CNN Brasil,"Caso Enrico: como age remedio que custa R$ 17 milhoes",https://www.metropoles.com/saude/caso-enrico-remedio-terapia-duchenne,individual_cases,"5-year-old Enrico needed Elevidys (R$17 million) for Duchenne muscular dystrophy. STF Minister Gilmar Mendes initially suspended 11 orders (total R$252 million). Agreement eventually reached between Union and Roche.",no
2025-12-29,Diario do Grande ABC,"Mae luta na Justica para manter tratamento do filho",https://www.dgabc.com.br/Noticia/4276806/mae-luta-na-justica-para-manter-tratamento-do-filho-,individual_cases,"Mother fights to maintain Voxzogo (R$1 million/year) for son Antonio with achondroplasia. Treatment began after judicial decision; son began walking. STF suspended supply; mother fears developmental regression.",no
2025,Metropoles,"Jovem com doenca rara e fatal nao recebe medicacao ha sete meses",https://www.metropoles.com/distrito-federal/jovem-com-doenca-rara-e-fatal-nao-recebe-medicacao-ha-sete-meses,individual_cases,"17-year-old Davi with atypical hemolytic uremic syndrome had court order since 2017 guaranteeing eculizumab. Medication undelivered for 7 months due to bureaucratic transfer issues.",no
2025,Instituto Oncoguia,"Cancer: pacientes vao a Justica por acesso a tratamentos sem oferta no SUS",https://www.oncoguia.org.br/conteudo/cancer-pacientes-vao-a-justica-por-acesso-a-tratamentos-sem-oferta-no-sus/16589/7/,individual_cases,"Cintia (47) with advanced breast cancer obtained palbociclib (R$10,000/box) via court. After 9 months regained ability to perform activities she hadn't done in four years.",no
2024-01,TJAC,"Paciente consegue na Justica fornecimento de medicamento nao disponivel no SUS",https://www.tjac.jus.br/2024/01/paciente-consegue-na-justica-fornecimento-de-medicamento-nao-disponivel-no-sus/,individual_cases,"Patient with severe eosinophilic asthma facing risk of death obtained medication via court. State argued drug not on essential medicines list. Judge ordered supply within 5 days, R$1,000/day fine.",no
2021-08-24,JFSP,"Justica determina o fornecimento de medicamento a homem com doenca degenerativa",https://www.jfsp.jus.br/comunicacao-publica/indice-noticias/24/08/2021-justica-determina-o-fornecimento-de-medicamento-a-homem-com-doenca-degenerativa,individual_cases,"Man with familial amyloidotic polyneuropathy obtained Inotersen after Tafamidis (SUS-provided) failed. R$5,000/day fine for non-compliance.",no
2025,Olhar Juridico,"Paciente com doenca autoimune rara consegue na Justica medicamento de R$ 14 mil a caixa",https://www.olharjuridico.com.br/noticias/exibir.asp?id=46819,individual_cases,"Patient with Erdheim-Chester Disease (~500 cases worldwide since 1930) obtained Vemurafenib (R$14,555/box, 4 boxes/month) through Defensoria Publica. Filed same day daughter sought help.",no
2025-10,Revista Forum,"Ajude Natalia Pimenta: dirigente do PCO luta contra leucemia rara",https://revistaforum.com.br/revista-forum/ajude-natalia-pimenta-dirigente-do-pco-luta-contra-leucemia-rara/,individual_cases,"Natalia (40) in ICU with rare leukemia needed Revumenib. Injunction denied because drug lacks ANVISA registration. Only proven treatment option -- supporters argue formality violates human dignity.",no
2026-01-06,Tribuna Online,"Pais conseguem na Justica remedio para o filho que custa R$ 7 milhoes",https://tribunaonline.com.br/cidades/pais-conseguem-na-justica-remedio-para-o-filho-que-custa-r-7-milhoes-287302,individual_cases,"After seven months of legal battle, parents obtained Zolgensma (~R$7 million) through SUS. Son now feeds himself, speaks, sits, stands with support.",no
2024-09-20,STF Noticias,"STF define criterios para a concessao judicial de medicamentos nao incorporados ao SUS",https://noticias.stf.jus.br/postsnoticias/stf-define-criterios-para-a-concessao-judicial-de-medicamentos-nao-incorporado-ao-sus/,institutional_response,"Landmark Tema 1234 judgment: courts generally cannot order non-CONITEC medications. Six cumulative conditions required. Judges must consult NAT-Jus, cannot rely solely on prescriptions.",no
2024-10,Ministerio da Saude,"Decisao do STF sobre concessao de medicamentos fortalece a ciencia e reforca o papel coletivo do SUS",https://www.gov.br/saude/pt-br/assuntos/noticias/2024/outubro/decisao-do-stf-sobre-concessao-de-medicamentos-fortalece-a-ciencia-e-reforca-o-papel-coletivo-do-sus,institutional_response,"Ministry created dedicated judicialization department and national platform. CONITEC brought into Fonajus. Minister Nisia called decision 'a milestone for Brazil and for SUS.'",no
2024-09,Futuro da Saude,"Decisao do STF pode organizar judicializacao sobre acesso a medicamentos mas fortalecimento da Conitec e criticado",https://futurodasaude.com.br/decisao-stf-judicializacao-medicamentos/,institutional_response,"STF decision may organize judicialization but patient associations and pharma criticize 'undisputed power' given to CONITEC. Concerns about transparency and Ministry influence on evaluations.",no
2024-04-02,Portal CNJ,"Forum do Judiciario para a Saude aprova medidas para reducao da judicializacao",https://www.cnj.jus.br/forum-do-judiciario-para-a-saude-aprova-medidas-para-reducao-da-judicializacao/,institutional_response,"Under Minister Barroso, Fonajus approved working group for e-NatJus improvement, itinerant Fonajus to visit courts, 120-day deadline for state health committees to develop plans.",no
2024-11-21,Portal CNJ,"CNJ e ANS assinam acordo para reducao da judicializacao da saude suplementar",https://www.cnj.jus.br/cnj-e-ans-assinam-acordo-para-reducao-da-judicializacao-da-saude-suplementar/,institutional_response,"Cooperation agreement to prevent new supplementary health lawsuits, speed case processing, provide technical-scientific support. Over 330,000 active lawsuits involve health plan operators.",no
2024-10-08,Portal CNJ,"Bases de dados tecnicos de saude devem ser integradas ao e-NatJus 4.0",https://www.cnj.jus.br/bases-de-dados-tecnicos-de-saude-devem-ser-integradas-no-e-natjus-4-0/,institutional_response,"e-NatJus 4.0: ~240,000 technical notes supporting 183,000 health cases. Consolidating multiple health databases into single platform for evidence-based judicial decisions.",no
2022-11-14,Portal CNJ,"Sistema do e-Natjus refina busca de notas e pareceres tecnicos em saude",https://www.cnj.jus.br/sistema-do-e-natjus-refina-busca-de-notas-e-pareceres-tecnicos-em-saude/,institutional_response,"CNJ improved e-NatJus search functionality. Platform had accumulated over 88,000 notes. Refinement aimed to support growing judicial demand for evidence-based health decisions.",no
2021-08-03,Portal CNJ,"NAT-Jus/SP alcanca marca de 1 mil notas tecnicas na biblioteca digital",https://www.cnj.jus.br/nat-jus-sp-alcanca-marca-de-1-mil-notas-tecnicas-na-biblioteca-digital/,institutional_response,"SP NAT-Jus reached 1,000 technical notes milestone. Notes produced by health professionals to guide judges on clinical questions about medications, treatments, procedures.",no
2025-11,TJSC,"TJSC expande emissao de notas tecnicas por meio do NatJus para as 112 comarcas",https://www.tjsc.jus.br/web/imprensa/-/tjsc-expande-emissao-de-notas-tecnicas-por-meio-do-natjus-para-as-112-comarcas,institutional_response,"Santa Catarina expanding NatJus to all 112 municipalities by Nov 2025 (pilot March 2025). Evidence-based notes via telehealth professionals from Funmed.",no
2016-07,TRF4,"TRF4 implanta as primeiras varas federais do pais especializadas em saude",https://www.trf4.jus.br/trf4/controlador.php?acao=noticia_visualizar&id_noticia=12050,institutional_response,"First federal courts specialized in health: 3rd Federal Court of Curitiba and four in Porto Alegre. Responded to CNJ Recommendation No. 43.",no
2018-09-18,Portal CNJ,"Judicializacao da saude: Goiania ganha duas varas especializadas",https://www.cnj.jus.br/judicializacao-da-saude-goiania-instala-duas-varas-especializadas/,institutional_response,"Goiania installed two courts dedicated to health litigation, part of national movement for specialized judicial units following CNJ Recommendation No. 43.",no
2024,TJCE,"9a e 15a Varas da Fazenda Publica de Fortaleza serao exclusivas para demandas de saude",https://www.tjce.jus.br/noticias/9a-e-15a-varas-da-fazenda-publica-de-fortaleza-serao-exclusivas-para-demandas-de-saude/,institutional_response,"Ceara converted two courts to handle exclusively public health demands. ~2,500 pending cases to be distributed. Established Nucleo de Justica 4.0 for public health.",no
2025-09,Defensoria Publica RJ,"Camara de Resolucao de Litigios em Saude comemora 12 anos",https://www.defensoria.rj.def.br/noticia/detalhes/31975-Camara-de-Resolucao-de-Litigios-em-Saude-comemora-12-anos,institutional_response,"RJ CRLS (2013-2025): analyzed 201,700+ requests, 57.52% resolved without litigation. Extrajudicial resolution rate climbed from ~35% (2013-14) to ~63% (2022-23). Savings of at least R$3.5 million.",no
2024-09,TJAM,"Camara de Resolucao Extrajudicial de Litigios de Saude completa primeiro ano",https://www.tjam.jus.br/index.php/menu/sala-de-imprensa/12511-camara-de-resolucao-extrajudicial-de-litigios-de-saude-completa-seu-primeiro-ano-de-atividades-e-registra-89-7-das-demandas-resolvidas-no-periodo,institutional_response,"Amazonas extrajudicial chamber resolved 89.7% of demands without litigation in first year, saving R$1.78 million.",no
2024-07-12,Portal CNJ,"Tribunal do Para instala em Belem CEJUSC especializado em saude",https://www.cnj.jus.br/tribunal-do-para-instala-em-belem-cejusc-especializado-em-saude/,institutional_response,"TJPA established specialized health CEJUSC in Belem with statewide competence. First conciliation session resolved ICU bed/surgery case.",no
2025-11-07,Portal CNJ,"Diagnostico do CNJ aponta alto indice de deferimento de pedidos em saude e baixa conciliacao",https://www.cnj.jus.br/diagnostico-do-cnj-aponta-alto-indice-de-procedencia-e-baixa-conciliacao-em-acoes-de-saude/,institutional_response,"CNJ diagnostic: ~600,000 health lawsuits filed Jan 2024 - Aug 2025. Six states show injunction approval rates above 85%. Conciliation rates below 1% in 17 states.",no
2019,UFMG,"Judicializacao reforca desigualdade entre clientes de planos de saude",https://ufmg.br/comunicacao/noticias/judicializacao-da-saude-reforca-desigualdade,equity,"UFMG study: health plan clients who judicialize most frequently held individual plans, lived in wealthy areas, had broader provider networks. Judicializing more accessible to wealthier citizens.",no
2017-10,MPMS,"Luta pela vida, reforco da desigualdade ou gasto desenfreado?",https://www.mpms.mp.br/noticias/2017/10/luta-pela-vida-reforco-da-desigualdade-ou-gasto-desenfreadoa-a-dificil-equacao-da-judicializacao-da-saude,equity,"SP 2010-2014: of 56,000 cases, 64% filed by private lawyers (only 13.8% public defenders), nearly half of prescriptions from private doctors. Success rates exceed 80% but procedural costs exclude poorest.",no
2024-12,Migalhas,"5 fatos surpreendentes sobre a judicializacao da saude no Brasil",https://www.migalhas.com.br/depeso/444202/5-fatos-surpreendentes-sobre-a-judicializacao-da-saude-no-brasil,equity,"Reports 'paradoxical inequality': judicialization may deepen inequalities as those with more resources access justice more easily. Massive regional heterogeneity. Collective actions underutilized but yield 7% higher success.",no
2019,International Journal for Equity in Health,"(Un)Equitable distribution of health resources and the judicialization of healthcare: 10 years of experience in Brazil",https://equityhealthj.biomedcentral.com/articles/10.1186/s12939-019-0914-5,equity,"10-year analysis finds 'contrary positive discrimination tendency -- in favor of advantaged groups.' Access to courts skewed toward people with comparatively better health conditions due to economic situation.",no
2013-08-29,Health and Human Rights Journal,"The right to health in the courts of Brazil: Worsening health inequities?",https://www.hhrjournal.org/2013/08/29/the-right-to-health-in-the-courts-of-brazil-worsening-health-inequities/,equity,"Examines whether judicial enforcement worsens health inequities. Growing proportion of cases from supplementary insurance (25% of population, wealthier) and small role of public defenders suggest regressive pattern.",no
2019,International Journal for Equity in Health,"Is the judicialization of health care bad for equity? A scoping review",https://equityhealthj.biomedcentral.com/articles/10.1186/s12939-019-0961-y,equity,"Scoping review: evidence on regressivity inconclusive. Some studies find majority of litigants are poor/older individuals. Others show concentration in developed areas and high-cost medicines. Calls for more rigorous methodology.",no
2024,APM / CFM / CNJ,"Infografico apresenta panoramas da Judicializacao da Saude e da Medicina no Brasil",https://www.apm.org.br/infografico-apresenta-panoramas-da-judicializacao-da-saude-e-da-medicina-no-brasil/,equity,"Massive regional disparity: South has 5.11 cases per 1,000 inhabitants vs 0.80 in North. SP leads with 133,500 cases. Health litigation grew 198% over nine years while general litigation fell 6%.",no
